epoch,global_step,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss,val/all_ts/f1_score,val/all_ts/solved,val/bprna_ts0/f1_score,val/bprna_ts0/loss,val/bprna_ts0/solved
,,1.8e-05,1.8e-05,9,,,,,,
,,1.8e-05,1.8e-05,9,,,,,,
,,1.8e-05,1.8e-05,9,,,,,,
,,1.8e-05,1.8e-05,9,,,,,,
0,9.0,,,9,0.6922551989555359,,,,,
,,3.8e-05,3.8e-05,19,,,,,,
,,3.8e-05,3.8e-05,19,,,,,,
,,3.8e-05,3.8e-05,19,,,,,,
,,3.8e-05,3.8e-05,19,,,,,,
0,19.0,,,19,0.6809157133102417,,,,,
,,5.800000000000001e-05,5.800000000000001e-05,29,,,,,,
,,5.800000000000001e-05,5.800000000000001e-05,29,,,,,,
,,5.800000000000001e-05,5.800000000000001e-05,29,,,,,,
,,5.800000000000001e-05,5.800000000000001e-05,29,,,,,,
0,29.0,,,29,0.6560367345809937,,,,,
,,7.8e-05,7.8e-05,39,,,,,,
,,7.8e-05,7.8e-05,39,,,,,,
,,7.8e-05,7.8e-05,39,,,,,,
,,7.8e-05,7.8e-05,39,,,,,,
0,39.0,,,39,0.6018596291542053,,,,,
,,9.800000000000001e-05,9.800000000000001e-05,49,,,,,,
,,9.800000000000001e-05,9.800000000000001e-05,49,,,,,,
,,9.800000000000001e-05,9.800000000000001e-05,49,,,,,,
,,9.800000000000001e-05,9.800000000000001e-05,49,,,,,,
0,49.0,,,49,0.54470294713974,,,,,
,,0.000118,0.000118,59,,,,,,
,,0.000118,0.000118,59,,,,,,
,,0.000118,0.000118,59,,,,,,
,,0.000118,0.000118,59,,,,,,
0,59.0,,,59,0.510090172290802,,,,,
,,0.00013800000000000002,0.00013800000000000002,69,,,,,,
,,0.00013800000000000002,0.00013800000000000002,69,,,,,,
,,0.00013800000000000002,0.00013800000000000002,69,,,,,,
,,0.00013800000000000002,0.00013800000000000002,69,,,,,,
0,69.0,,,69,0.48486143350601196,,,,,
,,0.000158,0.000158,79,,,,,,
,,0.000158,0.000158,79,,,,,,
,,0.000158,0.000158,79,,,,,,
,,0.000158,0.000158,79,,,,,,
0,79.0,,,79,0.4620899260044098,,,,,
,,0.000178,0.000178,89,,,,,,
,,0.000178,0.000178,89,,,,,,
,,0.000178,0.000178,89,,,,,,
,,0.000178,0.000178,89,,,,,,
0,89.0,,,89,0.4385359287261963,,,,,
,,0.00019800000000000002,0.00019800000000000002,99,,,,,,
,,0.00019800000000000002,0.00019800000000000002,99,,,,,,
,,0.00019800000000000002,0.00019800000000000002,99,,,,,,
,,0.00019800000000000002,0.00019800000000000002,99,,,,,,
0,99.0,,,99,0.4183788299560547,,,,,
,,0.000218,0.000218,109,,,,,,
,,0.000218,0.000218,109,,,,,,
,,0.000218,0.000218,109,,,,,,
,,0.000218,0.000218,109,,,,,,
0,109.0,,,109,0.39525479078292847,,,,,
,,0.00023799999999999998,0.00023799999999999998,119,,,,,,
,,0.00023799999999999998,0.00023799999999999998,119,,,,,,
,,0.00023799999999999998,0.00023799999999999998,119,,,,,,
,,0.00023799999999999998,0.00023799999999999998,119,,,,,,
0,119.0,,,119,0.37303778529167175,,,,,
,,0.00025800000000000004,0.00025800000000000004,129,,,,,,
,,0.00025800000000000004,0.00025800000000000004,129,,,,,,
,,0.00025800000000000004,0.00025800000000000004,129,,,,,,
,,0.00025800000000000004,0.00025800000000000004,129,,,,,,
0,129.0,,,129,0.34389373660087585,,,,,
,,0.00027800000000000004,0.00027800000000000004,139,,,,,,
,,0.00027800000000000004,0.00027800000000000004,139,,,,,,
,,0.00027800000000000004,0.00027800000000000004,139,,,,,,
,,0.00027800000000000004,0.00027800000000000004,139,,,,,,
0,139.0,,,139,0.3197678327560425,,,,,
,,0.000298,0.000298,149,,,,,,
,,0.000298,0.000298,149,,,,,,
,,0.000298,0.000298,149,,,,,,
,,0.000298,0.000298,149,,,,,,
0,149.0,,,149,0.2949686646461487,,,,,
,,0.00031800000000000003,0.00031800000000000003,159,,,,,,
,,0.00031800000000000003,0.00031800000000000003,159,,,,,,
,,0.00031800000000000003,0.00031800000000000003,159,,,,,,
,,0.00031800000000000003,0.00031800000000000003,159,,,,,,
0,159.0,,,159,0.2670324444770813,,,,,
,,0.00033800000000000003,0.00033800000000000003,169,,,,,,
,,0.00033800000000000003,0.00033800000000000003,169,,,,,,
,,0.00033800000000000003,0.00033800000000000003,169,,,,,,
,,0.00033800000000000003,0.00033800000000000003,169,,,,,,
0,169.0,,,169,0.23818354308605194,,,,,
,,0.000358,0.000358,179,,,,,,
,,0.000358,0.000358,179,,,,,,
,,0.000358,0.000358,179,,,,,,
,,0.000358,0.000358,179,,,,,,
0,179.0,,,179,0.2159440666437149,,,,,
,,0.000378,0.000378,189,,,,,,
,,0.000378,0.000378,189,,,,,,
,,0.000378,0.000378,189,,,,,,
,,0.000378,0.000378,189,,,,,,
0,189.0,,,189,0.18837463855743408,,,,,
,,0.000398,0.000398,199,,,,,,
,,0.000398,0.000398,199,,,,,,
,,0.000398,0.000398,199,,,,,,
,,0.000398,0.000398,199,,,,,,
0,199.0,,,199,0.16021256148815155,,,,,
,,0.00041799999999999997,0.00041799999999999997,209,,,,,,
,,0.00041799999999999997,0.00041799999999999997,209,,,,,,
,,0.00041799999999999997,0.00041799999999999997,209,,,,,,
,,0.00041799999999999997,0.00041799999999999997,209,,,,,,
0,209.0,,,209,0.14773975312709808,,,,,
,,0.000438,0.000438,219,,,,,,
,,0.000438,0.000438,219,,,,,,
,,0.000438,0.000438,219,,,,,,
,,0.000438,0.000438,219,,,,,,
0,219.0,,,219,0.13249345123767853,,,,,
,,0.000458,0.000458,229,,,,,,
,,0.000458,0.000458,229,,,,,,
,,0.000458,0.000458,229,,,,,,
,,0.000458,0.000458,229,,,,,,
0,229.0,,,229,0.11730246245861053,,,,,
,,0.00047799999999999996,0.00047799999999999996,239,,,,,,
,,0.00047799999999999996,0.00047799999999999996,239,,,,,,
,,0.00047799999999999996,0.00047799999999999996,239,,,,,,
,,0.00047799999999999996,0.00047799999999999996,239,,,,,,
0,239.0,,,239,0.1068708747625351,,,,,
,,0.000498,0.000498,249,,,,,,
,,0.000498,0.000498,249,,,,,,
,,0.000498,0.000498,249,,,,,,
,,0.000498,0.000498,249,,,,,,
0,249.0,,,249,0.09174510836601257,,,,,
,,0.000518,0.000518,259,,,,,,
,,0.000518,0.000518,259,,,,,,
,,0.000518,0.000518,259,,,,,,
,,0.000518,0.000518,259,,,,,,
0,259.0,,,259,0.08846763521432877,,,,,
,,0.0005380000000000001,0.0005380000000000001,269,,,,,,
,,0.0005380000000000001,0.0005380000000000001,269,,,,,,
,,0.0005380000000000001,0.0005380000000000001,269,,,,,,
,,0.0005380000000000001,0.0005380000000000001,269,,,,,,
0,269.0,,,269,0.07438629865646362,,,,,
,,0.000558,0.000558,279,,,,,,
,,0.000558,0.000558,279,,,,,,
,,0.000558,0.000558,279,,,,,,
,,0.000558,0.000558,279,,,,,,
0,279.0,,,279,0.0760529413819313,,,,,
,,0.000578,0.000578,289,,,,,,
,,0.000578,0.000578,289,,,,,,
,,0.000578,0.000578,289,,,,,,
,,0.000578,0.000578,289,,,,,,
0,289.0,,,289,0.06303234398365021,,,,,
,,0.000598,0.000598,299,,,,,,
,,0.000598,0.000598,299,,,,,,
,,0.000598,0.000598,299,,,,,,
,,0.000598,0.000598,299,,,,,,
0,299.0,,,299,0.06925535202026367,,,,,
,,0.0006180000000000001,0.0006180000000000001,309,,,,,,
,,0.0006180000000000001,0.0006180000000000001,309,,,,,,
,,0.0006180000000000001,0.0006180000000000001,309,,,,,,
,,0.0006180000000000001,0.0006180000000000001,309,,,,,,
0,309.0,,,309,0.06451651453971863,,,,,
,,0.000638,0.000638,319,,,,,,
,,0.000638,0.000638,319,,,,,,
,,0.000638,0.000638,319,,,,,,
,,0.000638,0.000638,319,,,,,,
0,319.0,,,319,0.046603430062532425,,,,,
,,0.0006580000000000001,0.0006580000000000001,329,,,,,,
,,0.0006580000000000001,0.0006580000000000001,329,,,,,,
,,0.0006580000000000001,0.0006580000000000001,329,,,,,,
,,0.0006580000000000001,0.0006580000000000001,329,,,,,,
0,329.0,,,329,0.046457577496767044,,,,,
,,0.0006780000000000001,0.0006780000000000001,339,,,,,,
,,0.0006780000000000001,0.0006780000000000001,339,,,,,,
