epoch,global_step,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss,val/all_ts/f1_score,val/all_ts/solved,val/bprna_ts0/f1_score,val/bprna_ts0/loss,val/bprna_ts0/solved
,,1.8e-05,1.8e-05,9,,,,,,
,,1.8e-05,1.8e-05,9,,,,,,
,,1.8e-05,1.8e-05,9,,,,,,
,,1.8e-05,1.8e-05,9,,,,,,
0,9.0,,,9,0.7482810616493225,,,,,
,,3.8e-05,3.8e-05,19,,,,,,
,,3.8e-05,3.8e-05,19,,,,,,
,,3.8e-05,3.8e-05,19,,,,,,
,,3.8e-05,3.8e-05,19,,,,,,
0,19.0,,,19,0.7305768728256226,,,,,
,,5.800000000000001e-05,5.800000000000001e-05,29,,,,,,
,,5.800000000000001e-05,5.800000000000001e-05,29,,,,,,
,,5.800000000000001e-05,5.800000000000001e-05,29,,,,,,
,,5.800000000000001e-05,5.800000000000001e-05,29,,,,,,
0,29.0,,,29,0.6929606199264526,,,,,
,,7.8e-05,7.8e-05,39,,,,,,
,,7.8e-05,7.8e-05,39,,,,,,
,,7.8e-05,7.8e-05,39,,,,,,
,,7.8e-05,7.8e-05,39,,,,,,
0,39.0,,,39,0.6265820860862732,,,,,
,,9.800000000000001e-05,9.800000000000001e-05,49,,,,,,
,,9.800000000000001e-05,9.800000000000001e-05,49,,,,,,
,,9.800000000000001e-05,9.800000000000001e-05,49,,,,,,
,,9.800000000000001e-05,9.800000000000001e-05,49,,,,,,
0,49.0,,,49,0.5551786422729492,,,,,
,,0.000118,0.000118,59,,,,,,
,,0.000118,0.000118,59,,,,,,
,,0.000118,0.000118,59,,,,,,
,,0.000118,0.000118,59,,,,,,
0,59.0,,,59,0.5110325217247009,,,,,
,,0.00013800000000000002,0.00013800000000000002,69,,,,,,
,,0.00013800000000000002,0.00013800000000000002,69,,,,,,
,,0.00013800000000000002,0.00013800000000000002,69,,,,,,
,,0.00013800000000000002,0.00013800000000000002,69,,,,,,
0,69.0,,,69,0.47938981652259827,,,,,
,,0.000158,0.000158,79,,,,,,
,,0.000158,0.000158,79,,,,,,
,,0.000158,0.000158,79,,,,,,
,,0.000158,0.000158,79,,,,,,
0,79.0,,,79,0.45458686351776123,,,,,
,,0.000178,0.000178,89,,,,,,
,,0.000178,0.000178,89,,,,,,
,,0.000178,0.000178,89,,,,,,
,,0.000178,0.000178,89,,,,,,
0,89.0,,,89,0.4293743073940277,,,,,
,,0.00019800000000000002,0.00019800000000000002,99,,,,,,
,,0.00019800000000000002,0.00019800000000000002,99,,,,,,
,,0.00019800000000000002,0.00019800000000000002,99,,,,,,
,,0.00019800000000000002,0.00019800000000000002,99,,,,,,
0,99.0,,,99,0.40930408239364624,,,,,
,,0.000218,0.000218,109,,,,,,
,,0.000218,0.000218,109,,,,,,
,,0.000218,0.000218,109,,,,,,
,,0.000218,0.000218,109,,,,,,
0,109.0,,,109,0.3855677843093872,,,,,
,,0.00023799999999999998,0.00023799999999999998,119,,,,,,
,,0.00023799999999999998,0.00023799999999999998,119,,,,,,
,,0.00023799999999999998,0.00023799999999999998,119,,,,,,
,,0.00023799999999999998,0.00023799999999999998,119,,,,,,
0,119.0,,,119,0.3632940948009491,,,,,
,,0.00025800000000000004,0.00025800000000000004,129,,,,,,
,,0.00025800000000000004,0.00025800000000000004,129,,,,,,
,,0.00025800000000000004,0.00025800000000000004,129,,,,,,
,,0.00025800000000000004,0.00025800000000000004,129,,,,,,
0,129.0,,,129,0.33376023173332214,,,,,
,,0.00027800000000000004,0.00027800000000000004,139,,,,,,
,,0.00027800000000000004,0.00027800000000000004,139,,,,,,
,,0.00027800000000000004,0.00027800000000000004,139,,,,,,
,,0.00027800000000000004,0.00027800000000000004,139,,,,,,
0,139.0,,,139,0.3094211220741272,,,,,
,,0.000298,0.000298,149,,,,,,
,,0.000298,0.000298,149,,,,,,
,,0.000298,0.000298,149,,,,,,
,,0.000298,0.000298,149,,,,,,
0,149.0,,,149,0.28456512093544006,,,,,
,,0.00031800000000000003,0.00031800000000000003,159,,,,,,
,,0.00031800000000000003,0.00031800000000000003,159,,,,,,
,,0.00031800000000000003,0.00031800000000000003,159,,,,,,
,,0.00031800000000000003,0.00031800000000000003,159,,,,,,
0,159.0,,,159,0.2563106417655945,,,,,
,,0.00033800000000000003,0.00033800000000000003,169,,,,,,
,,0.00033800000000000003,0.00033800000000000003,169,,,,,,
,,0.00033800000000000003,0.00033800000000000003,169,,,,,,
,,0.00033800000000000003,0.00033800000000000003,169,,,,,,
0,169.0,,,169,0.22712872922420502,,,,,
,,0.000358,0.000358,179,,,,,,
,,0.000358,0.000358,179,,,,,,
,,0.000358,0.000358,179,,,,,,
,,0.000358,0.000358,179,,,,,,
0,179.0,,,179,0.20528176426887512,,,,,
,,0.000378,0.000378,189,,,,,,
,,0.000378,0.000378,189,,,,,,
,,0.000378,0.000378,189,,,,,,
,,0.000378,0.000378,189,,,,,,
0,189.0,,,189,0.17804113030433655,,,,,
,,0.000398,0.000398,199,,,,,,
,,0.000398,0.000398,199,,,,,,
,,0.000398,0.000398,199,,,,,,
,,0.000398,0.000398,199,,,,,,
0,199.0,,,199,0.15122278034687042,,,,,
,,0.00041799999999999997,0.00041799999999999997,209,,,,,,
,,0.00041799999999999997,0.00041799999999999997,209,,,,,,
,,0.00041799999999999997,0.00041799999999999997,209,,,,,,
,,0.00041799999999999997,0.00041799999999999997,209,,,,,,
0,209.0,,,209,0.14076650142669678,,,,,
,,0.000438,0.000438,219,,,,,,
,,0.000438,0.000438,219,,,,,,
,,0.000438,0.000438,219,,,,,,
,,0.000438,0.000438,219,,,,,,
0,219.0,,,219,0.12678006291389465,,,,,
,,0.000458,0.000458,229,,,,,,
,,0.000458,0.000458,229,,,,,,
,,0.000458,0.000458,229,,,,,,
,,0.000458,0.000458,229,,,,,,
0,229.0,,,229,0.11236770451068878,,,,,
,,0.00047799999999999996,0.00047799999999999996,239,,,,,,
,,0.00047799999999999996,0.00047799999999999996,239,,,,,,
,,0.00047799999999999996,0.00047799999999999996,239,,,,,,
,,0.00047799999999999996,0.00047799999999999996,239,,,,,,
0,239.0,,,239,0.10265462100505829,,,,,
,,0.000498,0.000498,249,,,,,,
,,0.000498,0.000498,249,,,,,,
,,0.000498,0.000498,249,,,,,,
,,0.000498,0.000498,249,,,,,,
0,249.0,,,249,0.08787175267934799,,,,,
,,0.000518,0.000518,259,,,,,,
,,0.000518,0.000518,259,,,,,,
,,0.000518,0.000518,259,,,,,,
,,0.000518,0.000518,259,,,,,,
0,259.0,,,259,0.0852363258600235,,,,,
,,0.0005380000000000001,0.0005380000000000001,269,,,,,,
,,0.0005380000000000001,0.0005380000000000001,269,,,,,,
,,0.0005380000000000001,0.0005380000000000001,269,,,,,,
,,0.0005380000000000001,0.0005380000000000001,269,,,,,,
0,269.0,,,269,0.07136482745409012,,,,,
,,0.000558,0.000558,279,,,,,,
,,0.000558,0.000558,279,,,,,,
,,0.000558,0.000558,279,,,,,,
,,0.000558,0.000558,279,,,,,,
0,279.0,,,279,0.07355713099241257,,,,,
,,0.000578,0.000578,289,,,,,,
,,0.000578,0.000578,289,,,,,,
,,0.000578,0.000578,289,,,,,,
,,0.000578,0.000578,289,,,,,,
0,289.0,,,289,0.06063061207532883,,,,,
,,0.000598,0.000598,299,,,,,,
,,0.000598,0.000598,299,,,,,,
,,0.000598,0.000598,299,,,,,,
,,0.000598,0.000598,299,,,,,,
0,299.0,,,299,0.0673782080411911,,,,,
,,0.0006180000000000001,0.0006180000000000001,309,,,,,,
,,0.0006180000000000001,0.0006180000000000001,309,,,,,,
,,0.0006180000000000001,0.0006180000000000001,309,,,,,,
,,0.0006180000000000001,0.0006180000000000001,309,,,,,,
0,309.0,,,309,0.06287311017513275,,,,,
,,0.000638,0.000638,319,,,,,,
,,0.000638,0.000638,319,,,,,,
,,0.000638,0.000638,319,,,,,,
,,0.000638,0.000638,319,,,,,,
0,319.0,,,319,0.0447784885764122,,,,,
,,0.0006580000000000001,0.0006580000000000001,329,,,,,,
,,0.0006580000000000001,0.0006580000000000001,329,,,,,,
,,0.0006580000000000001,0.0006580000000000001,329,,,,,,
,,0.0006580000000000001,0.0006580000000000001,329,,,,,,
0,329.0,,,329,0.04487505927681923,,,,,
,,0.0006780000000000001,0.0006780000000000001,339,,,,,,
,,0.0006780000000000001,0.0006780000000000001,339,,,,,,
